year,state,donations
2019,W.P. Kuala Lumpur,198506
2019,Pulau Pinang,43448
2019,Kedah,42506
2019,Johor,41261
2019,Perak,41032
2020,W.P. Kuala Lumpur,169941
2020,Johor,40705
2020,Perak,40086
2020,Pulau Pinang,36512
2020,Sabah,34069
2021,W.P. Kuala Lumpur,173967
2021,Perak,43151
2021,Johor,40409
2021,Sarawak,35783
2021,Pulau Pinang,35211
2022,W.P. Kuala Lumpur,202413
2022,Perak,46498
2022,Johor,42832
2022,Sarawak,40129
2022,Pulau Pinang,38420
2023,W.P. Kuala Lumpur,206288
2023,Perak,46920
2023,Johor,43706
2023,Pulau Pinang,41633
2023,Sarawak,41593
